KOs	colours
K03185	yellow,black
K03183	red,black
K03184	yellow,black
K19222	yellow,black
K01823	yellow,black
K00099	yellow,black
K00991	yellow,black
K00919	yellow,black
K03527	yellow,black
K02291	yellow,black
K06443	yellow,black
K00067	yellow,black
K02078	yellow,black
K14266	yellow,black
K06998	yellow,black
K06998	yellow,black
K00529	yellow,black
K12340	red,black
K18297	yellow,black
K07260	yellow,black
K18353	yellow,black
K07637	yellow,black
K07660	yellow,black
K03585	yellow,black
K09924	yellow,black
K02871	red,black
K02871	red,black
K03789	yellow,black
K03789	yellow,black
K03415	yellow,black
K03415	yellow,black
K03415	yellow,black
K07705	yellow,black
K07705	yellow,black
K07705	yellow,black
K07705	yellow,black
K03563	yellow,black
K10536	yellow,black
K10536	yellow,black
K09701	yellow,black
K21700	yellow,black
K21700	yellow,black
K01573	yellow,black
K03600	yellow,black
K21472	yellow,black
K06967	yellow,black
K14393	yellow,black
K12251	yellow,black
K12251	yellow,black
K19304	yellow,black
K19304	yellow,black
K19304	yellow,black
K03599	yellow,black
K07264	yellow,black
K06958	yellow,black
K02478	yellow,black
K02478	yellow,black
K20975	yellow,black
K22452	yellow,black
K02806	yellow,black
K09774	yellow,black
K02621	yellow,black
K03648	yellow,black
K10805	yellow,black
K20534	yellow,black
K02030	yellow,black
K02030	yellow,black
K02030	yellow,black
K02030	yellow,black
K02030	yellow,black
K02030	yellow,black
K02030	yellow,black
K02030	yellow,black
K02030	yellow,black
K02622	yellow,black
K07000	yellow,black
K06861	yellow,black
K01868	yellow,black
K03702	yellow,black
K03924	yellow,black
K03924	yellow,black
K00154	yellow,black
K09607	yellow,black
K01273	red,black
K03100	red,black
K03088	yellow,black
K03088	yellow,black
K03088	yellow,black
K03088	yellow,black
K03088	yellow,black
K03088	yellow,black
K03088	yellow,black
K03088	yellow,black
K03088	yellow,black
K08485	yellow,black
K07167	yellow,black
K02553	yellow,black
K02553	yellow,black
K09966	yellow,black
K03657	yellow,black
K03657	yellow,black
K03327	yellow,black
